timeStamp   	posX        	posY        	posZ        	frontX      	frontY      	frontZ      	frameMode   
2           	304.053     	25.7258     	-20.9978    	0.293464    	0.0265523   	-0.955601   	1           
2           	291.444     	27.1436     	8.28488     	0.217409    	-0.173219   	-0.960588   	1           
2           	307.349     	26.4658     	-13.8463    	0.18187     	-0.0662943  	-0.981085   	1           
2           	347.036     	32.0171     	-137.373    	0.385241    	0.0489909   	-0.921515   	1           
2           	362.363     	32.1854     	-197.754    	-0.229339   	-0.0548652  	-0.971799   	1           
2          	328.604     	40.8207     	-171.365    	-0.366403   	0.135193    	0.920582    	1           
2          	290.52      	44.8037     	-11.7621    	-0.871886   	-0.00244977 	0.489703    	1           
2          	77.9241     	40.2801     	179.695     	-0.404899   	0.0511347   	-0.912931   	1           
2          	37.7619     	60.1531     	38.6082     	0.713141    	0.196511    	-0.672914   	1           
2          	127.426     	60.1531     	41.9776     	-0.498592   	0.372017    	-0.782949   	1           
2          	53.1648     	102.672     	7.91799     	-0.865503   	-0.0857864  	-0.493503   	1           
2          	-81.3879    	128.126     	-73.496     	0.424552    	-0.203715   	-0.882188   	1           
2          	-54.8778    	153.533     	-279.699    	0.973038    	0.0771075   	0.217373    	1           
2          	100.174     	317.977     	-263.727    	0.397354    	-0.917233   	-0.0281799  	1           
2          	260.978     	153.513     	-280.962    	0.762422    	-0.636425   	-0.116947   	1           
2          	274.417     	107.12      	-385.355    	-0.92473    	-0.15316    	0.348449    	1           
2          	-148.359    	53.8435     	-295.732    	-0.846774   	0.0869332   	0.524802    	1           
2          	-481.589    	144.082     	-192.378    	0.640341    	-0.32338    	-0.696698   	1           
2          	-261.443    	127.571     	-349.057    	0.535642    	-0.179011   	0.825253    	1           
2          	-273.458    	145.275     	-36.4887    	-0.579176   	-0.382029   	0.720145    	1           
1          	-190.555    	50.3056     	173.164     	0.163852    	-0.336117   	0.927458    	1           
1          	-256.184    	52.6907     	342.094     	0.646019    	-0.264746   	-0.715939   	1           
1          	-106.438    	51.4911     	135.519     	-0.077803   	-0.114451   	0.990378    	1           
2          	-17.6514    	45.9085     	280.293     	0.514799    	-0.194489   	-0.834959   	1           
2          	223.151     	45.0433     	68.9563     	0.729523    	-0.134306   	-0.67064    	1           
2          	291.822     	42.08       	-8.11227    	0.546225    	-0.0927254  	-0.83249    	1           
2          	386.242     	158.574     	88.6825     	-0.600304   	-0.425069   	-0.677459   	1           
2          	99.6356     	175.268     	238.104     	-0.0692616  	-0.231794   	-0.970296   	1           
2          	-233.664    	169.688     	327.248     	0.403953    	0.117165    	-0.907245   	1           
3          	171.883     	223.084     	-493.895    	0.105683    	-0.27156    	0.956601    	1           
3          	200.118     	55.5809     	9.89929     	0.930781    	-0.252052   	0.264796    	1           
3          	305.291     	35.1001     	26.9364     	-0.136906   	-0.278877   	-0.950518   	1           
3	303.6587	28.0457	-12.3945	0.3708	-0.1221	-0.9207	1
